Date,Country,City,co,pm10,pm25
30/12/2019,NZ,Christchurch,2,16,23
31/12/2019,NZ,Christchurch,2,14,22
1/1/2020,NZ,Christchurch,2.3,23,43
2/1/2020,NZ,Christchurch,2.4,22,57
3/1/2020,NZ,Christchurch,2.1,13,26
4/1/2020,NZ,Christchurch,1.9,12,18
5/1/2020,NZ,Christchurch,2.1,18,28
6/1/2020,NZ,Christchurch,1.9,13,22
7/1/2020,NZ,Christchurch,1.9,13,18
8/1/2020,NZ,Christchurch,1.9,13,19
9/1/2020,NZ,Christchurch,2,15,19
10/1/2020,NZ,Christchurch,2,12,18
11/1/2020,NZ,Christchurch,2.1,17,22
12/1/2020,NZ,Christchurch,2.2,9,12
13/1/2020,NZ,Christchurch,2,15,23
14/1/2020,NZ,Christchurch,1.9,14,22
15/1/2020,NZ,Christchurch,2,14,25
16/1/2020,NZ,Christchurch,2,11,18
17/1/2020,NZ,Christchurch,2,10,12
18/1/2020,NZ,Christchurch,2,12,15
19/1/2020,NZ,Christchurch,2.1,8,11
20/1/2020,NZ,Christchurch,2.1,5,8
21/1/2020,NZ,Christchurch,2.1,9,14
22/1/2020,NZ,Christchurch,2.2,17,28
23/1/2020,NZ,Christchurch,2.4,21,33
24/1/2020,NZ,Christchurch,2.3,12,24
25/1/2020,NZ,Christchurch,2.4,18,31
26/1/2020,NZ,Christchurch,2.4,12,24
27/1/2020,NZ,Christchurch,2.4,14,28
28/1/2020,NZ,Christchurch,2.3,10,18
29/1/2020,NZ,Christchurch,2.4,12,22
30/1/2020,NZ,Christchurch,2.1,23,29
31/1/2020,NZ,Christchurch,2,33,43
1/2/2020,NZ,Christchurch,2.2,29,45
2/2/2020,NZ,Christchurch,2.5,17,25
3/2/2020,NZ,Christchurch,2.2,12,17
4/2/2020,NZ,Christchurch,2.2,13,20
5/2/2020,NZ,Christchurch,2,11,15
6/2/2020,NZ,Christchurch,2.1,11,19
7/2/2020,NZ,Christchurch,2.1,12,18
8/2/2020,NZ,Christchurch,2.1,13,20
9/2/2020,NZ,Christchurch,2.2,8,14
10/2/2020,NZ,Christchurch,2.2,15,21
11/2/2020,NZ,Christchurch,2.2,25,41
12/2/2020,NZ,Christchurch,2.3,20,34
13/2/2020,NZ,Christchurch,2.3,21,32
14/2/2020,NZ,Christchurch,2.3,8,13
15/2/2020,NZ,Christchurch,2.4,17,22
16/2/2020,NZ,Christchurch,2.4,18,27
17/2/2020,NZ,Christchurch,2.3,10,13
18/2/2020,NZ,Christchurch,2.4,20,39
19/2/2020,NZ,Christchurch,2.4,10,19
20/2/2020,NZ,Christchurch,2.4,7,13
21/2/2020,NZ,Christchurch,2.3,11,14
22/2/2020,NZ,Christchurch,2.3,15,21
23/2/2020,NZ,Christchurch,2.3,7,10
24/2/2020,NZ,Christchurch,2.3,11,13
25/2/2020,NZ,Christchurch,2.3,12,17
26/2/2020,NZ,Christchurch,2.4,9,13
