Date,Country,City,co,pm10,pm25
30/12/2019,HK,Hong Kong,7,12,40
31/12/2019,HK,Hong Kong,6.9,26,66
1/1/2020,HK,Hong Kong,7.5,35,78
2/1/2020,HK,Hong Kong,6.4,28,66
3/1/2020,HK,Hong Kong,7.3,41,85
4/1/2020,HK,Hong Kong,7,41,87
5/1/2020,HK,Hong Kong,5.6,28,63
6/1/2020,HK,Hong Kong,5.9,27,59
7/1/2020,HK,Hong Kong,7,32,65
8/1/2020,HK,Hong Kong,6.8,32,64
9/1/2020,HK,Hong Kong,7.8,38,69
10/1/2020,HK,Hong Kong,8,40,82
11/1/2020,HK,Hong Kong,7.3,39,83
12/1/2020,HK,Hong Kong,8.5,31,58
13/1/2020,HK,Hong Kong,8.3,31,65
14/1/2020,HK,Hong Kong,7.4,34,74
15/1/2020,HK,Hong Kong,6.5,40,79
16/1/2020,HK,Hong Kong,7.6,44,93
17/1/2020,HK,Hong Kong,8.5,32,65
18/1/2020,HK,Hong Kong,8.5,23,56
19/1/2020,HK,Hong Kong,7.8,35,73
20/1/2020,HK,Hong Kong,8,26,70
21/1/2020,HK,Hong Kong,7.8,33,77
22/1/2020,HK,Hong Kong,7.7,38,85
23/1/2020,HK,Hong Kong,6.9,30,73
24/1/2020,HK,Hong Kong,7,24,63
25/1/2020,HK,Hong Kong,6.3,19,56
26/1/2020,HK,Hong Kong,7.8,9,35
27/1/2020,HK,Hong Kong,6.9,9,32
28/1/2020,HK,Hong Kong,6.1,10,37
29/1/2020,HK,Hong Kong,6.5,19,60
30/1/2020,HK,Hong Kong,5.6,22,65
31/1/2020,HK,Hong Kong,6.5,26,75
1/2/2020,HK,Hong Kong,6.4,32,75
2/2/2020,HK,Hong Kong,6.8,35,78
3/2/2020,HK,Hong Kong,6.2,28,65
4/2/2020,HK,Hong Kong,6.7,23,61
5/2/2020,HK,Hong Kong,6.8,18,52
6/2/2020,HK,Hong Kong,6.3,27,59
7/2/2020,HK,Hong Kong,7.1,35,72
8/2/2020,HK,Hong Kong,6.9,11,33
9/2/2020,HK,Hong Kong,7.1,16,50
10/2/2020,HK,Hong Kong,7.1,25,65
11/2/2020,HK,Hong Kong,7.3,35,78
12/2/2020,HK,Hong Kong,6.9,46,86
13/2/2020,HK,Hong Kong,6.7,19,55
14/2/2020,HK,Hong Kong,6,17,46
15/2/2020,HK,Hong Kong,5.7,26,61
16/2/2020,HK,Hong Kong,7.4,8,22
17/2/2020,HK,Hong Kong,5.4,16,43
18/2/2020,HK,Hong Kong,4.7,18,45
19/2/2020,HK,Hong Kong,5.4,26,55
20/2/2020,HK,Hong Kong,5.5,25,57
21/2/2020,HK,Hong Kong,5.2,21,47
22/2/2020,HK,Hong Kong,6.5,30,69
23/2/2020,HK,Hong Kong,5.6,29,66
24/2/2020,HK,Hong Kong,5.8,46,70
25/2/2020,HK,Hong Kong,6.2,34,63
26/2/2020,HK,Hong Kong,6,24,56
27/2/2020,HK,Hong Kong,5.5,23,54
28/2/2020,HK,Hong Kong,5.5,26,58
29/2/2020,HK,Hong Kong,5.9,21,54
1/3/2020,HK,Hong Kong,6,26,63
2/3/2020,HK,Hong Kong,6.1,24,58
3/3/2020,HK,Hong Kong,6.3,27,58
4/3/2020,HK,Hong Kong,6.3,18,51
5/3/2020,HK,Hong Kong,6.8,11,33
6/3/2020,HK,Hong Kong,5.6,28,63
7/3/2020,HK,Hong Kong,5.6,36,72
8/3/2020,HK,Hong Kong,5.8,23,60
9/3/2020,HK,Hong Kong,5.7,24,59
10/3/2020,HK,Hong Kong,7.3,21,50
11/3/2020,HK,Hong Kong,6.9,27,61
12/3/2020,HK,Hong Kong,6.5,47,76
13/3/2020,HK,Hong Kong,6.8,44,96
14/3/2020,HK,Hong Kong,7.3,20,56
15/3/2020,HK,Hong Kong,7,39,85
16/3/2020,HK,Hong Kong,5.6,45,73
17/3/2020,HK,Hong Kong,5.4,49,70
18/3/2020,HK,Hong Kong,5.9,42,76
19/3/2020,HK,Hong Kong,6.2,23,61
20/3/2020,HK,Hong Kong,6.7,28,67
21/3/2020,HK,Hong Kong,5.9,50,78
