Date,Country,City,co,pm10,pm25
30/12/2019,GB,London,5.5,21,67
31/12/2019,GB,London,5.5,25,70
1/1/2020,GB,London,6.4,33,95
2/1/2020,GB,London,3,12,30
3/1/2020,GB,London,3.7,11,30
4/1/2020,GB,London,4.6,12,30
5/1/2020,GB,London,4.6,8,23
6/1/2020,GB,London,4.6,13,30
7/1/2020,GB,London,3.5,18,35
8/1/2020,GB,London,4.6,24,50
9/1/2020,GB,London,4.6,11,25
10/1/2020,GB,London,4.8,11,33
11/1/2020,GB,London,3.7,15,28
12/1/2020,GB,London,4.6,9,21
13/1/2020,GB,London,4.6,12,21
14/1/2020,GB,London,4.6,10,25
15/1/2020,GB,London,4.9,11,28
16/1/2020,GB,London,3.6,14,29
17/1/2020,GB,London,2.8,11,25
18/1/2020,GB,London,5.9,15,38
19/1/2020,GB,London,6.4,17,46
20/1/2020,GB,London,10.9,34,78
21/1/2020,GB,London,10,36,86
22/1/2020,GB,London,5.2,29,83
23/1/2020,GB,London,3.7,19,59
24/1/2020,GB,London,3.7,20,58
25/1/2020,GB,London,3.7,28,70
26/1/2020,GB,London,4.4,20,52
27/1/2020,GB,London,3.7,11,21
28/1/2020,GB,London,8.2,9,21
29/1/2020,GB,London,9.1,15,33
30/1/2020,GB,London,7.2,11,25
31/1/2020,GB,London,6.3,7,18
1/2/2020,GB,London,6.5,15,31
2/2/2020,GB,London,6.4,17,38
3/2/2020,GB,London,5.5,17,35
4/2/2020,GB,London,7.4,13,30
5/2/2020,GB,London,8.5,28,59
6/2/2020,GB,London,7.3,29,65
7/2/2020,GB,London,6.4,30,69
8/2/2020,GB,London,4.3,19,34
9/2/2020,GB,London,2.8,12,25
10/2/2020,GB,London,3,11,26
11/2/2020,GB,London,4.6,14,28
12/2/2020,GB,London,4.6,12,24
13/2/2020,GB,London,3.7,10,25
14/2/2020,GB,London,4.6,19,41
15/2/2020,GB,London,2.2,8,20
16/2/2020,GB,London,3.7,6,16
17/2/2020,GB,London,3.7,14,30
18/2/2020,GB,London,3.7,12,25
19/2/2020,GB,London,3.7,14,30
20/2/2020,GB,London,3.7,8,18
21/2/2020,GB,London,3.7,18,31
22/2/2020,GB,London,3.1,17,38
23/2/2020,GB,London,3.7,7,20
24/2/2020,GB,London,4.3,8,18
25/2/2020,GB,London,5.5,9,17
26/2/2020,GB,London,6.4,11,21
27/2/2020,GB,London,5.3,10,25
28/2/2020,GB,London,5.3,12,25
29/2/2020,GB,London,6.4,13,29
1/3/2020,GB,London,7.4,11,23
2/3/2020,GB,London,4.6,8,21
3/3/2020,GB,London,9.1,18,41
4/3/2020,GB,London,6.4,15,38
5/3/2020,GB,London,3.7,12,38
6/3/2020,GB,London,5.5,16,39
7/3/2020,GB,London,6.4,22,48
