Date,Country,City,co,pm10,pm25
30/12/2019,US,Los Angeles,4.2,22,42
31/12/2019,US,Los Angeles,7.7,23,51
1/1/2020,US,Los Angeles,5.5,29,61
2/1/2020,US,Los Angeles,7.2,35,61
3/1/2020,US,Los Angeles,7.4,30,63
4/1/2020,US,Los Angeles,8.5,34,68
5/1/2020,US,Los Angeles,8,25,61
6/1/2020,US,Los Angeles,6.2,23,46
7/1/2020,US,Los Angeles,4.5,23,25
8/1/2020,US,Los Angeles,5.6,29,50
9/1/2020,US,Los Angeles,6.5,26,42
10/1/2020,US,Los Angeles,7.4,26,53
11/1/2020,US,Los Angeles,9,28,61
12/1/2020,US,Los Angeles,5,25,62
13/1/2020,US,Los Angeles,6.5,34,63
14/1/2020,US,Los Angeles,7.2,35,73
15/1/2020,US,Los Angeles,7.7,45,94
16/1/2020,US,Los Angeles,4.3,40,80
17/1/2020,US,Los Angeles,3.9,15,30
18/1/2020,US,Los Angeles,5.2,19,44
19/1/2020,US,Los Angeles,5.4,20,50
20/1/2020,US,Los Angeles,6.8,27,61
21/1/2020,US,Los Angeles,3.8,14,34
22/1/2020,US,Los Angeles,4.9,20,46
23/1/2020,US,Los Angeles,6.7,30,57
24/1/2020,US,Los Angeles,7.5,28,55
25/1/2020,US,Los Angeles,8.9,34,72
26/1/2020,US,Los Angeles,4.5,33,64
27/1/2020,US,Los Angeles,5.7,37,76
28/1/2020,US,Los Angeles,5.6,22,48
29/1/2020,US,Los Angeles,5.2,33,42
30/1/2020,US,Los Angeles,6.4,35,43
31/1/2020,US,Los Angeles,9.6,35,46
1/2/2020,US,Los Angeles,6.2,26,43
2/2/2020,US,Los Angeles,5,27,57
3/2/2020,US,Los Angeles,2.3,26,23
4/2/2020,US,Los Angeles,5.6,31,26
5/2/2020,US,Los Angeles,4,24,30
6/2/2020,US,Los Angeles,6.9,32,52
7/2/2020,US,Los Angeles,6.8,33,66
8/2/2020,US,Los Angeles,8.8,40,71
9/2/2020,US,Los Angeles,2.5,21,42
10/2/2020,US,Los Angeles,4.2,24,38
11/2/2020,US,Los Angeles,5,33,34
12/2/2020,US,Los Angeles,5.8,40,46
13/2/2020,US,Los Angeles,4.4,41,57
14/2/2020,US,Los Angeles,7.5,40,57
15/2/2020,US,Los Angeles,6.5,39,63
16/2/2020,US,Los Angeles,7.9,34,63
17/2/2020,US,Los Angeles,7.3,35,67
18/2/2020,US,Los Angeles,4.8,41,59
19/2/2020,US,Los Angeles,3.7,42,70
20/2/2020,US,Los Angeles,7,40,70
21/2/2020,US,Los Angeles,3.9,32,53
22/2/2020,US,Los Angeles,1.8,16,34
23/2/2020,US,Los Angeles,3.3,22,46
24/2/2020,US,Los Angeles,5.9,32,56
25/2/2020,US,Los Angeles,7,34,53
26/2/2020,US,Los Angeles,8,32,50
27/2/2020,US,Los Angeles,6.8,32,46
28/2/2020,US,Los Angeles,4.7,24,34
29/2/2020,US,Los Angeles,2.8,24,42
1/3/2020,US,Los Angeles,2.2,20,38
2/3/2020,US,Los Angeles,3.8,18,34
3/3/2020,US,Los Angeles,3.6,28,32
4/3/2020,US,Los Angeles,4.6,38,55
5/3/2020,US,Los Angeles,4.8,39,63
6/3/2020,US,Los Angeles,4.8,35,54
7/3/2020,US,Los Angeles,2,14,20
8/3/2020,US,Los Angeles,2.2,8,17
9/3/2020,US,Los Angeles,3,15,30
10/3/2020,US,Los Angeles,2.5,10,17
11/3/2020,US,Los Angeles,2.5,13,20
12/3/2020,US,Los Angeles,5.9,17,29
13/3/2020,US,Los Angeles,3.5,10,30
14/3/2020,US,Los Angeles,3,11,18
15/3/2020,US,Los Angeles,2.4,10,23
16/3/2020,US,Los Angeles,2.6,20,30
17/3/2020,US,Los Angeles,3,10,21
18/3/2020,US,Los Angeles,3.5,16,30
19/3/2020,US,Los Angeles,2.9,10,21
20/3/2020,US,Los Angeles,2.7,12,25
21/3/2020,US,Los Angeles,2.7,10,22
22/3/2020,US,Los Angeles,2.5,14,26
23/3/2020,US,Los Angeles,2.3,9,14
24/3/2020,US,Los Angeles,3.5,16,25
25/3/2020,US,Los Angeles,1.3,11,14
26/3/2020,US,Los Angeles,1.2,10,17
27/3/2020,US,Los Angeles,2.4,15,26
28/3/2020,US,Los Angeles,2.2,20,35
29/3/2020,US,Los Angeles,2.5,24,42
30/3/2020,US,Los Angeles,2.7,22,39
31/3/2020,US,Los Angeles,3.7,23,42
1/4/2020,US,Los Angeles,2.8,24,39
2/4/2020,US,Los Angeles,1.9,22,46
3/4/2020,US,Los Angeles,2.9,29,45
4/4/2020,US,Los Angeles,2.2,,42
5/4/2020,US,Los Angeles,1.6,,17
6/4/2020,US,Los Angeles,1.8,,12
7/4/2020,US,Los Angeles,2.3,3,17
8/4/2020,US,Los Angeles,2.2,8,22
9/4/2020,US,Los Angeles,2,5,17
10/4/2020,US,Los Angeles,2.2,5,10
11/4/2020,US,Los Angeles,2.6,12,29
12/4/2020,US,Los Angeles,2.3,15,29
13/4/2020,US,Los Angeles,2.5,10,22
14/4/2020,US,Los Angeles,4,20,41
15/4/2020,US,Los Angeles,3.7,20,44
16/4/2020,US,Los Angeles,2.8,23,44
17/4/2020,US,Los Angeles,2.4,19,38
18/4/2020,US,Los Angeles,2.2,11,21
19/4/2020,US,Los Angeles,2,14,21
20/4/2020,US,Los Angeles,2.4,20,30
21/4/2020,US,Los Angeles,2.7,24,34
22/4/2020,US,Los Angeles,3.3,23,50
23/4/2020,US,Los Angeles,4,37,46
24/4/2020,US,Los Angeles,3.8,30,41
25/4/2020,US,Los Angeles,3.3,30,57
26/4/2020,US,Los Angeles,3.9,30,61
27/4/2020,US,Los Angeles,3.4,30,59
28/4/2020,US,Los Angeles,3.3,30,56
29/4/2020,US,Los Angeles,3.3,28,52
30/4/2020,US,Los Angeles,3,29,61
1/5/2020,US,Los Angeles,2.7,30,51
2/5/2020,US,Los Angeles,2.2,28,43
3/5/2020,US,Los Angeles,2.3,21,44
4/5/2020,US,Los Angeles,3.3,32,52
5/5/2020,US,Los Angeles,4.3,38,55
6/5/2020,US,Los Angeles,5.8,38,57
7/5/2020,US,Los Angeles,4.5,33,58
8/5/2020,US,Los Angeles,5,39,61
9/5/2020,US,Los Angeles,2.5,38,65
10/5/2020,US,Los Angeles,2,26,54
11/5/2020,US,Los Angeles,2,21,45
12/5/2020,US,Los Angeles,2.4,17,32
13/5/2020,US,Los Angeles,2.2,22,29
14/5/2020,US,Los Angeles,2.3,25,41
15/5/2020,US,Los Angeles,2.4,27,41
,,,,,
