Date,Country,City,co,pm10,pm25
30/12/2019,IN,Mumbai,9.2,97,168
31/12/2019,IN,Mumbai,7.6,84,157
1/1/2020,IN,Mumbai,11.2,111,179
2/1/2020,IN,Mumbai,8.9,104,180
3/1/2020,IN,Mumbai,8.1,95,170
4/1/2020,IN,Mumbai,7.9,90,169
5/1/2020,IN,Mumbai,8.5,93,164
6/1/2020,IN,Mumbai,8,84,157
7/1/2020,IN,Mumbai,9.6,94,166
8/1/2020,IN,Mumbai,6.5,73,154
9/1/2020,IN,Mumbai,6.5,78,151
10/1/2020,IN,Mumbai,6.6,87,155
11/1/2020,IN,Mumbai,7.3,88,160
12/1/2020,IN,Mumbai,9.7,98,165
13/1/2020,IN,Mumbai,6.6,69,147
14/1/2020,IN,Mumbai,5.1,70,101
15/1/2020,IN,Mumbai,4.6,61,85
16/1/2020,IN,Mumbai,4.9,59,90
17/1/2020,IN,Mumbai,5.3,71,130
18/1/2020,IN,Mumbai,7.3,98,162
19/1/2020,IN,Mumbai,8.3,100,165
20/1/2020,IN,Mumbai,10.1,108,169
21/1/2020,IN,Mumbai,12.1,105,168
22/1/2020,IN,Mumbai,10.5,92,163
23/1/2020,IN,Mumbai,8.7,104,165
24/1/2020,IN,Mumbai,8.4,98,160
25/1/2020,IN,Mumbai,9.3,108,167
26/1/2020,IN,Mumbai,10.5,110,171
27/1/2020,IN,Mumbai,5.4,68,113
28/1/2020,IN,Mumbai,4,57,70
29/1/2020,IN,Mumbai,3.4,69,70
30/1/2020,IN,Mumbai,6.2,86,141
31/1/2020,IN,Mumbai,7.2,88,153
1/2/2020,IN,Mumbai,8.1,100,159
2/2/2020,IN,Mumbai,9.4,101,160
3/2/2020,IN,Mumbai,9.6,92,161
4/2/2020,IN,Mumbai,6.8,93,163
5/2/2020,IN,Mumbai,7.6,92,153
6/2/2020,IN,Mumbai,5.6,84,126
7/2/2020,IN,Mumbai,6,83,127
8/2/2020,IN,Mumbai,7.7,97,158
9/2/2020,IN,Mumbai,6.2,92,157
10/2/2020,IN,Mumbai,6.2,83,151
11/2/2020,IN,Mumbai,7.6,92,155
12/2/2020,IN,Mumbai,8.9,96,155
13/2/2020,IN,Mumbai,9.5,100,158
14/2/2020,IN,Mumbai,7,92,153
15/2/2020,IN,Mumbai,7.3,95,144
16/2/2020,IN,Mumbai,8.7,108,163
17/2/2020,IN,Mumbai,11.5,126,173
18/2/2020,IN,Mumbai,10.8,118,168
19/2/2020,IN,Mumbai,11.5,120,168
20/2/2020,IN,Mumbai,9.2,94,153
21/2/2020,IN,Mumbai,7.5,77,115
22/2/2020,IN,Mumbai,9.3,110,160
23/2/2020,IN,Mumbai,10,115,162
24/2/2020,IN,Mumbai,11.5,108,168
25/2/2020,IN,Mumbai,6.9,86,116
26/2/2020,IN,Mumbai,5.9,80,116
27/2/2020,IN,Mumbai,8.3,94,151
28/2/2020,IN,Mumbai,11.6,116,163
29/2/2020,IN,Mumbai,11.3,102,155
1/3/2020,IN,Mumbai,6.1,81,124
2/3/2020,IN,Mumbai,7.8,89,129
3/3/2020,IN,Mumbai,4.8,83,118
4/3/2020,IN,Mumbai,5.1,79,103
5/3/2020,IN,Mumbai,5.1,76,97
6/3/2020,IN,Mumbai,3.9,70,68
7/3/2020,IN,Mumbai,4.7,89,82
8/3/2020,IN,Mumbai,5.4,86,92
9/3/2020,IN,Mumbai,6.7,86,107
10/3/2020,IN,Mumbai,6.4,65,82
11/3/2020,IN,Mumbai,3.6,52,58
12/3/2020,IN,Mumbai,4.5,59,61
13/3/2020,IN,Mumbai,4.2,74,81
14/3/2020,IN,Mumbai,4.8,82,97
15/3/2020,IN,Mumbai,9.3,102,141
16/3/2020,IN,Mumbai,10.1,104,152
17/3/2020,IN,Mumbai,13.4,114,161
18/3/2020,IN,Mumbai,9.7,84,130
19/3/2020,IN,Mumbai,6.1,65,84
20/3/2020,IN,Mumbai,5.1,53,63
21/3/2020,IN,Mumbai,5,53,67
22/3/2020,IN,Mumbai,3.3,46,64
23/3/2020,IN,Mumbai,3.6,55,82
24/3/2020,IN,Mumbai,4.8,68,107
25/3/2020,IN,Mumbai,4.5,58,90
26/3/2020,IN,Mumbai,4.1,53,85
27/3/2020,IN,Mumbai,3.8,57,84
28/3/2020,IN,Mumbai,4.5,54,91
29/3/2020,IN,Mumbai,3.9,56,83
30/3/2020,IN,Mumbai,4.1,54,81
31/3/2020,IN,Mumbai,5,52,79
1/4/2020,IN,Mumbai,3.6,52,77
2/4/2020,IN,Mumbai,3.8,61,92
3/4/2020,IN,Mumbai,3.8,64,87
4/4/2020,IN,Mumbai,3.8,60,85
5/4/2020,IN,Mumbai,3.6,58,85
6/4/2020,IN,Mumbai,3,51,72
7/4/2020,IN,Mumbai,3.5,61,85
8/4/2020,IN,Mumbai,3.8,73,92
9/4/2020,IN,Mumbai,3.9,70,91
10/4/2020,IN,Mumbai,3.6,66,91
11/4/2020,IN,Mumbai,3.8,63,94
12/4/2020,IN,Mumbai,3.4,60,90
13/4/2020,IN,Mumbai,3.3,58,86
14/4/2020,IN,Mumbai,3.2,58,91
15/4/2020,IN,Mumbai,3.7,51,87
16/4/2020,IN,Mumbai,2.4,48,77
17/4/2020,IN,Mumbai,2.2,49,75
18/4/2020,IN,Mumbai,2,52,72
19/4/2020,IN,Mumbai,2.1,55,72
20/4/2020,IN,Mumbai,3.6,61,84
21/4/2020,IN,Mumbai,5.8,50,67
22/4/2020,IN,Mumbai,4.6,51,68
23/4/2020,IN,Mumbai,3.2,49,66
24/4/2020,IN,Mumbai,3.2,44,65
25/4/2020,IN,Mumbai,3.4,45,57
26/4/2020,IN,Mumbai,3.8,47,62
27/4/2020,IN,Mumbai,2.8,41,58
28/4/2020,IN,Mumbai,3,50,65
29/4/2020,IN,Mumbai,2.8,53,68
30/4/2020,IN,Mumbai,2.3,51,63
1/5/2020,IN,Mumbai,2.3,42,55
