Date,Country,City,co,pm10,pm25
30/12/2019,IT,Rome,0.1,14,46
31/12/2019,IT,Rome,0.1,32,76
1/1/2020,IT,Rome,0.1,41,107
2/1/2020,IT,Rome,0.1,49,109
3/1/2020,IT,Rome,0.1,49,114
4/1/2020,IT,Rome,0.1,47,107
5/1/2020,IT,Rome,0.1,28,70
6/1/2020,IT,Rome,0.1,12,30
7/1/2020,IT,Rome,0.1,35,78
8/1/2020,IT,Rome,0.1,50,104
9/1/2020,IT,Rome,0.1,52,114
10/1/2020,IT,Rome,0.1,48,109
11/1/2020,IT,Rome,0.1,50,117
12/1/2020,IT,Rome,0.1,40,95
13/1/2020,IT,Rome,0.1,40,95
14/1/2020,IT,Rome,0.1,46,102
15/1/2020,IT,Rome,0.1,44,104
16/1/2020,IT,Rome,0.1,52,117
17/1/2020,IT,Rome,0.1,48,107
18/1/2020,IT,Rome,0.1,27,74
19/1/2020,IT,Rome,0.1,19,59
20/1/2020,IT,Rome,0.1,12,38
21/1/2020,IT,Rome,0.1,24,65
22/1/2020,IT,Rome,0.1,33,87
23/1/2020,IT,Rome,0.1,46,97
24/1/2020,IT,Rome,0.1,46,109
25/1/2020,IT,Rome,0.1,36,72
26/1/2020,IT,Rome,0.1,30,63
27/1/2020,IT,Rome,0.1,36,70
28/1/2020,IT,Rome,0.1,22,42
29/1/2020,IT,Rome,0.1,30,53
30/1/2020,IT,Rome,0.1,31,65
31/1/2020,IT,Rome,0.1,36,74
1/2/2020,IT,Rome,0.1,50,109
2/2/2020,IT,Rome,0.1,25,65
3/2/2020,IT,Rome,0.1,27,59
4/2/2020,IT,Rome,0.1,22,46
5/2/2020,IT,Rome,0.1,6,17
6/2/2020,IT,Rome,0.1,12,30
7/2/2020,IT,Rome,0.1,25,63
8/2/2020,IT,Rome,0.1,40,91
9/2/2020,IT,Rome,0.1,31,80
10/2/2020,IT,Rome,0.1,24,50
11/2/2020,IT,Rome,0.1,37,50
12/2/2020,IT,Rome,0.1,31,57
13/2/2020,IT,Rome,0.1,27,59
14/2/2020,IT,Rome,0.1,15,34
15/2/2020,IT,Rome,0.1,20,61
16/2/2020,IT,Rome,0.1,31,78
17/2/2020,IT,Rome,0.1,30,74
18/2/2020,IT,Rome,0.1,28,63
19/2/2020,IT,Rome,0.1,27,65
20/2/2020,IT,Rome,0.1,18,53
21/2/2020,IT,Rome,0.1,25,59
22/2/2020,IT,Rome,0.1,30,70
23/2/2020,IT,Rome,0.1,30,78
24/2/2020,IT,Rome,0.1,25,57
25/2/2020,IT,Rome,0.1,17,38
26/2/2020,IT,Rome,0.1,15,34
27/2/2020,IT,Rome,0.1,13,25
28/2/2020,IT,Rome,0.1,17,30
29/2/2020,IT,Rome,0.1,19,46
1/3/2020,IT,Rome,0.1,22,42
3/3/2020,IT,Rome,0.1,23,30
4/3/2020,IT,Rome,0.1,13,34
5/3/2020,IT,Rome,0.1,11,30
6/3/2020,IT,Rome,0.1,22,30
7/3/2020,IT,Rome,0.1,15,34
8/3/2020,IT,Rome,0.1,10,30
9/3/2020,IT,Rome,0.1,15,38
10/3/2020,IT,Rome,0.1,20,53
11/3/2020,IT,Rome,0.1,28,65
12/3/2020,IT,Rome,0.1,20,53
13/3/2020,IT,Rome,0.1,26,59
14/3/2020,IT,Rome,0.1,21,57
15/3/2020,IT,Rome,0.1,15,42
16/3/2020,IT,Rome,0.1,20,57
17/3/2020,IT,Rome,0.1,28,68
18/3/2020,IT,Rome,0.1,33,78
19/3/2020,IT,Rome,0.1,31,78
20/3/2020,IT,Rome,0.1,27,72
21/3/2020,IT,Rome,0.1,31,82
22/3/2020,IT,Rome,0.1,31,82
23/3/2020,IT,Rome,0.1,17,46
24/3/2020,IT,Rome,0.1,11,34
25/3/2020,IT,Rome,0.1,8,25
26/3/2020,IT,Rome,0.1,6,17
27/3/2020,IT,Rome,0.1,6,17
28/3/2020,IT,Rome,0.1,26,46
29/3/2020,IT,Rome,0.1,55,65
30/3/2020,IT,Rome,0.1,50,63
31/3/2020,IT,Rome,0.1,15,42
1/4/2020,IT,Rome,0.1,12,34
2/4/2020,IT,Rome,0.1,16,50
3/4/2020,IT,Rome,0.1,20,61
4/4/2020,IT,Rome,0.1,17,55
5/4/2020,IT,Rome,0.1,19,55
6/4/2020,IT,Rome,0.1,23,65
7/4/2020,IT,Rome,0.1,29,72
8/4/2020,IT,Rome,0.1,31,78
9/4/2020,IT,Rome,0.1,29,74
10/4/2020,IT,Rome,0.1,29,70
11/4/2020,IT,Rome,0.1,27,70
12/4/2020,IT,Rome,0.1,25,63
13/4/2020,IT,Rome,0.1,20,59
14/4/2020,IT,Rome,0.1,18,53
15/4/2020,IT,Rome,0.1,11,25
16/4/2020,IT,Rome,0.1,15,42
17/4/2020,IT,Rome,0.1,18,38
18/4/2020,IT,Rome,0.1,16,30
19/4/2020,IT,Rome,0.1,23,46
20/4/2020,IT,Rome,0.1,15,38
21/4/2020,IT,Rome,0.1,13,25
22/4/2020,IT,Rome,0.1,9,25
23/4/2020,IT,Rome,0.1,10,25
24/4/2020,IT,Rome,0.1,15,50
25/4/2020,IT,Rome,0.1,15,46
26/4/2020,IT,Rome,0.1,9,25
27/4/2020,IT,Rome,0.1,12,34
28/4/2020,IT,Rome,0.1,18,38
29/4/2020,IT,Rome,0.1,15,21
30/4/2020,IT,Rome,0.1,12,25
1/5/2020,IT,Rome,0.1,12,21
2/5/2020,IT,Rome,0.1,17,25
3/5/2020,IT,Rome,0.1,12,30
4/5/2020,IT,Rome,0.1,11,25
5/5/2020,IT,Rome,0.1,15,30
6/5/2020,IT,Rome,0.1,16,34
7/5/2020,IT,Rome,0.1,13,34
8/5/2020,IT,Rome,0.1,15,38
9/5/2020,IT,Rome,0.1,15,42
10/5/2020,IT,Rome,0.1,14,38
11/5/2020,IT,Rome,0.1,14,34
12/5/2020,IT,Rome,0.1,19,25
13/5/2020,IT,Rome,0.1,28,57
14/5/2020,IT,Rome,0.1,47,63
,,,,,
,,,,,
,,,,,
