Date,Country,City,co,pm10,pm25
30/12/2019,BR,S‹o Paulo,2.8,22,55
31/12/2019,BR,S‹o Paulo,3.7,20,53
1/1/2020,BR,S‹o Paulo,3.7,20,55
2/1/2020,BR,S‹o Paulo,4.6,14,38
3/1/2020,BR,S‹o Paulo,2.8,7,17
4/1/2020,BR,S‹o Paulo,2.8,10,25
5/1/2020,BR,S‹o Paulo,3.7,11,34
6/1/2020,BR,S‹o Paulo,4.6,12,30
7/1/2020,BR,S‹o Paulo,4.6,20,46
8/1/2020,BR,S‹o Paulo,4.6,12,38
9/1/2020,BR,S‹o Paulo,4.6,14,38
10/1/2020,BR,S‹o Paulo,5.5,19,50
11/1/2020,BR,S‹o Paulo,5.5,20,50
12/1/2020,BR,S‹o Paulo,3.7,13,42
13/1/2020,BR,S‹o Paulo,2.8,11,30
14/1/2020,BR,S‹o Paulo,2.8,19,46
15/1/2020,BR,S‹o Paulo,4.6,26,57
16/1/2020,BR,S‹o Paulo,6.4,29,65
17/1/2020,BR,S‹o Paulo,2.8,9,21
18/1/2020,BR,S‹o Paulo,2.8,10,25
19/1/2020,BR,S‹o Paulo,2.8,13,30
20/1/2020,BR,S‹o Paulo,2.8,16,38
21/1/2020,BR,S‹o Paulo,2.8,20,46
22/1/2020,BR,S‹o Paulo,2.8,17,38
23/1/2020,BR,S‹o Paulo,3.7,16,42
24/1/2020,BR,S‹o Paulo,3.7,10,30
25/1/2020,BR,S‹o Paulo,2.8,14,30
26/1/2020,BR,S‹o Paulo,4.6,20,53
27/1/2020,BR,S‹o Paulo,5.5,28,61
28/1/2020,BR,S‹o Paulo,4.6,33,72
29/1/2020,BR,S‹o Paulo,4.6,20,53
30/1/2020,BR,S‹o Paulo,4.6,14,34
31/1/2020,BR,S‹o Paulo,4.6,12,30
1/2/2020,BR,S‹o Paulo,4.6,11,34
2/2/2020,BR,S‹o Paulo,3.7,11,34
3/2/2020,BR,S‹o Paulo,3.7,8,30
4/2/2020,BR,S‹o Paulo,3.7,10,34
5/2/2020,BR,S‹o Paulo,4.6,15,42
6/2/2020,BR,S‹o Paulo,4.6,17,42
7/2/2020,BR,S‹o Paulo,4.6,16,42
8/2/2020,BR,S‹o Paulo,4.6,14,38
9/2/2020,BR,S‹o Paulo,4.6,10,30
10/2/2020,BR,S‹o Paulo,2.8,6,17
11/2/2020,BR,S‹o Paulo,2.8,10,21
12/2/2020,BR,S‹o Paulo,2.8,10,21
13/2/2020,BR,S‹o Paulo,2.8,9,25
14/2/2020,BR,S‹o Paulo,3.7,16,42
15/2/2020,BR,S‹o Paulo,3.7,18,46
16/2/2020,BR,S‹o Paulo,4.6,27,72
17/2/2020,BR,S‹o Paulo,4.6,25,59
18/2/2020,BR,S‹o Paulo,5.5,20,53
19/2/2020,BR,S‹o Paulo,5.5,20,50
20/2/2020,BR,S‹o Paulo,6.4,21,55
21/2/2020,BR,S‹o Paulo,4.6,13,38
22/2/2020,BR,S‹o Paulo,3.7,10,25
23/2/2020,BR,S‹o Paulo,1.9,17,30
24/2/2020,BR,S‹o Paulo,3.7,19,42
25/2/2020,BR,S‹o Paulo,3.7,12,34
26/2/2020,BR,S‹o Paulo,4.6,10,25
27/2/2020,BR,S‹o Paulo,2.8,10,21
28/2/2020,BR,S‹o Paulo,2.8,16,25
29/2/2020,BR,S‹o Paulo,3.7,10,30
1/3/2020,BR,S‹o Paulo,2.8,6,17
2/3/2020,BR,S‹o Paulo,2.8,10,25
3/3/2020,BR,S‹o Paulo,3.7,9,21
4/3/2020,BR,S‹o Paulo,2.8,15,34
5/3/2020,BR,S‹o Paulo,2.8,17,34
6/3/2020,BR,S‹o Paulo,2.8,20,38
7/3/2020,BR,S‹o Paulo,2.8,20,42
8/3/2020,BR,S‹o Paulo,2.8,18,42
9/3/2020,BR,S‹o Paulo,2.8,20,50
10/3/2020,BR,S‹o Paulo,2.8,24,55
11/3/2020,BR,S‹o Paulo,2.8,27,57
12/3/2020,BR,S‹o Paulo,2.8,27,57
13/3/2020,BR,S‹o Paulo,3.7,32,70
14/3/2020,BR,S‹o Paulo,3.7,30,68
15/3/2020,BR,S‹o Paulo,3.7,21,55
16/3/2020,BR,S‹o Paulo,3.7,20,42
17/3/2020,BR,S‹o Paulo,3.7,16,42
18/3/2020,BR,S‹o Paulo,3.7,25,61
19/3/2020,BR,S‹o Paulo,4.6,28,65
20/3/2020,BR,S‹o Paulo,3.7,13,34
21/3/2020,BR,S‹o Paulo,2.8,13,38
22/3/2020,BR,S‹o Paulo,1.9,11,30
23/3/2020,BR,S‹o Paulo,1.9,12,25
24/3/2020,BR,S‹o Paulo,1.9,12,25
25/3/2020,BR,S‹o Paulo,1.9,14,30
26/3/2020,BR,S‹o Paulo,2.8,18,38
27/3/2020,BR,S‹o Paulo,2.8,18,46
28/3/2020,BR,S‹o Paulo,2.8,20,53
29/3/2020,BR,S‹o Paulo,2.8,18,53
30/3/2020,BR,S‹o Paulo,2.8,17,50
31/3/2020,BR,S‹o Paulo,2.8,19,53
1/4/2020,BR,S‹o Paulo,2.8,18,50
2/4/2020,BR,S‹o Paulo,3.7,20,46
3/4/2020,BR,S‹o Paulo,3.7,23,53
4/4/2020,BR,S‹o Paulo,1.9,20,38
5/4/2020,BR,S‹o Paulo,2.8,19,42
6/4/2020,BR,S‹o Paulo,3.7,28,59
7/4/2020,BR,S‹o Paulo,2.8,19,53
8/4/2020,BR,S‹o Paulo,1.9,9,21
9/4/2020,BR,S‹o Paulo,1.9,17,34
10/4/2020,BR,S‹o Paulo,1.9,18,38
11/4/2020,BR,S‹o Paulo,1.9,16,38
12/4/2020,BR,S‹o Paulo,1.9,11,30
13/4/2020,BR,S‹o Paulo,2.8,18,42
14/4/2020,BR,S‹o Paulo,3.7,23,55
15/4/2020,BR,S‹o Paulo,3.7,20,42
16/4/2020,BR,S‹o Paulo,3.7,26,59
17/4/2020,BR,S‹o Paulo,1.9,17,38
18/4/2020,BR,S‹o Paulo,1.9,14,38
19/4/2020,BR,S‹o Paulo,1.9,10,30
20/4/2020,BR,S‹o Paulo,2.8,14,34
21/4/2020,BR,S‹o Paulo,2.8,18,46
22/4/2020,BR,S‹o Paulo,2.8,22,57
23/4/2020,BR,S‹o Paulo,2.8,21,55
24/4/2020,BR,S‹o Paulo,2.8,23,61
25/4/2020,BR,S‹o Paulo,3.7,29,65
26/4/2020,BR,S‹o Paulo,3.7,32,74
27/4/2020,BR,S‹o Paulo,1.9,19,50
28/4/2020,BR,S‹o Paulo,2.8,18,42
29/4/2020,BR,S‹o Paulo,4.6,29,59
30/4/2020,BR,S‹o Paulo,7.3,51,85
1/5/2020,BR,S‹o Paulo,5.5,40,80
2/5/2020,BR,S‹o Paulo,5.5,37,76
3/5/2020,BR,S‹o Paulo,1.9,14,25
4/5/2020,BR,S‹o Paulo,2.8,19,38
5/5/2020,BR,S‹o Paulo,4.6,37,65
6/5/2020,BR,S‹o Paulo,5.5,43,68
7/5/2020,BR,S‹o Paulo,1.9,13,21
8/5/2020,BR,S‹o Paulo,2.8,11,25
9/5/2020,BR,S‹o Paulo,2.8,15,34
10/5/2020,BR,S‹o Paulo,3.7,20,53
11/5/2020,BR,S‹o Paulo,4.6,29,59
12/5/2020,BR,S‹o Paulo,7.3,46,78
13/5/2020,BR,S‹o Paulo,5.5,46,72
14/5/2020,BR,S‹o Paulo,3.7,20,55
15/5/2020,BR,S‹o Paulo,2.8,10,21
16/5/2020,BR,S‹o Paulo,1.9,15,38
