Date,Country,City,co,pm10,pm25
30/12/2019,KR,Seoul,6.7,33,78
31/12/2019,KR,Seoul,4.5,23,55
1/1/2020,KR,Seoul,6.7,30,70
2/1/2020,KR,Seoul,8.9,53,114
3/1/2020,KR,Seoul,10,59,137
4/1/2020,KR,Seoul,10,50,109
5/1/2020,KR,Seoul,10,47,102
6/1/2020,KR,Seoul,8.9,40,93
7/1/2020,KR,Seoul,6.7,9,30
8/1/2020,KR,Seoul,6.7,24,74
9/1/2020,KR,Seoul,6.7,46,109
10/1/2020,KR,Seoul,8.9,55,137
11/1/2020,KR,Seoul,8.9,50,112
12/1/2020,KR,Seoul,7.8,45,102
13/1/2020,KR,Seoul,5.6,24,59
14/1/2020,KR,Seoul,6.7,30,70
15/1/2020,KR,Seoul,7.8,35,76
16/1/2020,KR,Seoul,7.8,40,82
17/1/2020,KR,Seoul,8.9,53,104
18/1/2020,KR,Seoul,10,57,117
19/1/2020,KR,Seoul,8.9,54,124
20/1/2020,KR,Seoul,6.7,51,85
21/1/2020,KR,Seoul,7.8,41,78
22/1/2020,KR,Seoul,8.9,46,89
23/1/2020,KR,Seoul,8.9,56,114
24/1/2020,KR,Seoul,8.9,59,139
25/1/2020,KR,Seoul,8.9,49,109
26/1/2020,KR,Seoul,6.7,30,74
27/1/2020,KR,Seoul,3.4,10,17
28/1/2020,KR,Seoul,4.5,12,25
29/1/2020,KR,Seoul,5.6,17,34
30/1/2020,KR,Seoul,5.6,19,42
31/1/2020,KR,Seoul,6.7,36,78
1/2/2020,KR,Seoul,8.9,57,137
2/2/2020,KR,Seoul,8.9,60,151
3/2/2020,KR,Seoul,4.5,24,57
4/2/2020,KR,Seoul,5.6,24,59
5/2/2020,KR,Seoul,4.5,21,42
6/2/2020,KR,Seoul,6.7,35,65
7/2/2020,KR,Seoul,6.7,36,78
8/2/2020,KR,Seoul,5.6,37,82
9/2/2020,KR,Seoul,6.7,32,76
10/2/2020,KR,Seoul,6.7,45,91
11/2/2020,KR,Seoul,8.9,51,97
12/2/2020,KR,Seoul,8.9,47,102
13/2/2020,KR,Seoul,7.8,58,147
14/2/2020,KR,Seoul,8.9,64,154
15/2/2020,KR,Seoul,7.8,55,134
16/2/2020,KR,Seoul,5.6,25,61
17/2/2020,KR,Seoul,4.5,28,61
18/2/2020,KR,Seoul,5.6,21,55
19/2/2020,KR,Seoul,7.8,30,72
20/2/2020,KR,Seoul,7.8,51,119
21/2/2020,KR,Seoul,7.8,51,114
22/2/2020,KR,Seoul,6.7,52,93
23/2/2020,KR,Seoul,4.5,22,46
24/2/2020,KR,Seoul,5.6,31,61
25/2/2020,KR,Seoul,5.6,15,50
26/2/2020,KR,Seoul,5.6,16,38
27/2/2020,KR,Seoul,4.5,14,34
28/2/2020,KR,Seoul,5.6,26,65
29/2/2020,KR,Seoul,5.6,23,61
1/3/2020,KR,Seoul,6.7,40,93
2/3/2020,KR,Seoul,5.6,37,85
3/3/2020,KR,Seoul,5.6,34,82
4/3/2020,KR,Seoul,5.6,43,95
5/3/2020,KR,Seoul,5.6,35,80
6/3/2020,KR,Seoul,6.7,37,80
7/3/2020,KR,Seoul,7.8,51,112
8/3/2020,KR,Seoul,7.8,54,129
9/3/2020,KR,Seoul,7.8,53,127
10/3/2020,KR,Seoul,6.7,39,91
11/3/2020,KR,Seoul,4.5,33,42
12/3/2020,KR,Seoul,5.6,33,53
13/3/2020,KR,Seoul,4.5,30,50
14/3/2020,KR,Seoul,5.6,33,57
15/3/2020,KR,Seoul,4.5,37,53
16/3/2020,KR,Seoul,4.5,23,50
17/3/2020,KR,Seoul,5.6,40,63
18/3/2020,KR,Seoul,6.7,54,97
19/3/2020,KR,Seoul,4.5,50,68
20/3/2020,KR,Seoul,4.5,38,38
21/3/2020,KR,Seoul,4.5,49,57
22/3/2020,KR,Seoul,4.5,37,57
23/3/2020,KR,Seoul,5.6,47,80
24/3/2020,KR,Seoul,6.7,54,102
25/3/2020,KR,Seoul,6.7,49,89
26/3/2020,KR,Seoul,6.7,47,89
27/3/2020,KR,Seoul,4.5,40,63
28/3/2020,KR,Seoul,3.4,32,25
29/3/2020,KR,Seoul,4.5,40,57
30/3/2020,KR,Seoul,5.6,48,82
31/3/2020,KR,Seoul,5.6,44,76
1/4/2020,KR,Seoul,5.6,60,91
2/4/2020,KR,Seoul,5.6,37,74
