Date,Country,City,co,pm10,pm25
30/12/2019,IR,Tehran,26,56,75
31/12/2019,IR,Tehran,23,55,85
1/1/2020,IR,Tehran,26,57,98
2/1/2020,IR,Tehran,22,48,86
3/1/2020,IR,Tehran,22,53,93
4/1/2020,IR,Tehran,19,52,91
5/1/2020,IR,Tehran,16,28,63
6/1/2020,IR,Tehran,32,31,66
7/1/2020,IR,Tehran,34,46,87
8/1/2020,IR,Tehran,37,55,95
9/1/2020,IR,Tehran,28,57,92
10/1/2020,IR,Tehran,32,31,66
11/1/2020,IR,Tehran,35,45,83
12/1/2020,IR,Tehran,29,48,71
13/1/2020,IR,Tehran,25,61,94
14/1/2020,IR,Tehran,20,53,92
15/1/2020,IR,Tehran,29,55,103
16/1/2020,IR,Tehran,34,54,91
17/1/2020,IR,Tehran,31,59,103
18/1/2020,IR,Tehran,35,45,76
19/1/2020,IR,Tehran,36,46,86
20/1/2020,IR,Tehran,30,36,84
21/1/2020,IR,Tehran,30,55,103
22/1/2020,IR,Tehran,26,54,103
23/1/2020,IR,Tehran,29,30,63
24/1/2020,IR,Tehran,27,32,64
25/1/2020,IR,Tehran,29,52,84
26/1/2020,IR,Tehran,30,43,82
27/1/2020,IR,Tehran,34,58,106
28/1/2020,IR,Tehran,32,60,106
29/1/2020,IR,Tehran,33,72,132
30/1/2020,IR,Tehran,30,70,143
31/1/2020,IR,Tehran,32,55,97
1/2/2020,IR,Tehran,32,48,76
2/2/2020,IR,Tehran,27,34,52
3/2/2020,IR,Tehran,33,34,66
4/2/2020,IR,Tehran,39,54,96
5/2/2020,IR,Tehran,29,34,65
6/2/2020,IR,Tehran,32,36,66
7/2/2020,IR,Tehran,35,44,78
8/2/2020,IR,Tehran,18,61,72
9/2/2020,IR,Tehran,10,51,63
10/2/2020,IR,Tehran,12,47,60
11/2/2020,IR,Tehran,10,21,44
12/2/2020,IR,Tehran,18,29,54
13/2/2020,IR,Tehran,29,40,70
14/2/2020,IR,Tehran,24,38,63
15/2/2020,IR,Tehran,26,41,60
16/2/2020,IR,Tehran,27,54,73
17/2/2020,IR,Tehran,26,53,77
18/2/2020,IR,Tehran,32,70,131
19/2/2020,IR,Tehran,28,67,110
20/2/2020,IR,Tehran,25,38,72
21/2/2020,IR,Tehran,29,38,80
22/2/2020,IR,Tehran,26,47,94
23/2/2020,IR,Tehran,30,52,85
24/2/2020,IR,Tehran,28,55,93
25/2/2020,IR,Tehran,26,23,59
26/2/2020,IR,Tehran,20,13,37
27/2/2020,IR,Tehran,24,46,75
28/2/2020,IR,Tehran,25,63,118
29/2/2020,IR,Tehran,28,71,133
1/3/2020,IR,Tehran,26,62,102
2/3/2020,IR,Tehran,21,28,55
3/3/2020,IR,Tehran,22,29,48
4/3/2020,IR,Tehran,27,36,65
5/3/2020,IR,Tehran,26,50,93
6/3/2020,IR,Tehran,28,59,97
7/3/2020,IR,Tehran,24,50,70
8/3/2020,IR,Tehran,20,39,60
9/3/2020,IR,Tehran,24,34,60
10/3/2020,IR,Tehran,27,39,64
11/3/2020,IR,Tehran,27,43,71
12/3/2020,IR,Tehran,25,60,99
13/3/2020,IR,Tehran,24,52,81
14/3/2020,IR,Tehran,23,51,62
15/3/2020,IR,Tehran,23,45,71
16/3/2020,IR,Tehran,24,42,74
17/3/2020,IR,Tehran,25,37,60
18/3/2020,IR,Tehran,25,52,71
19/3/2020,IR,Tehran,27,37,59
20/3/2020,IR,Tehran,22,27,54
21/3/2020,IR,Tehran,23,30,52
22/3/2020,IR,Tehran,25,26,52
23/3/2020,IR,Tehran,22,17,33
24/3/2020,IR,Tehran,21,23,45
25/3/2020,IR,Tehran,26,29,67
26/3/2020,IR,Tehran,23,25,51
27/3/2020,IR,Tehran,21,26,50
28/3/2020,IR,Tehran,25,31,55
29/3/2020,IR,Tehran,25,24,49
30/3/2020,IR,Tehran,28,22,54
31/3/2020,IR,Tehran,22,15,28
1/4/2020,IR,Tehran,24,21,51
2/4/2020,IR,Tehran,26,23,48
3/4/2020,IR,Tehran,24,51,79
4/4/2020,IR,Tehran,26,37,62
5/4/2020,IR,Tehran,22,21,45
6/4/2020,IR,Tehran,27,31,53
7/4/2020,IR,Tehran,29,38,66
8/4/2020,IR,Tehran,24,21,50
9/4/2020,IR,Tehran,22,17,32
