Date,Country,City,co,pm10,pm25
30/12/2019,CN,Wuhan,10.4,70,155
31/12/2019,CN,Wuhan,8.7,74,155
1/1/2020,CN,Wuhan,7.8,61,114
2/1/2020,CN,Wuhan,8,71,158
3/1/2020,CN,Wuhan,8.7,83,172
4/1/2020,CN,Wuhan,10,90,178
5/1/2020,CN,Wuhan,10.9,70,154
6/1/2020,CN,Wuhan,12.5,19,55
7/1/2020,CN,Wuhan,11.6,16,55
8/1/2020,CN,Wuhan,8.7,44,107
9/1/2020,CN,Wuhan,6.2,19,59
10/1/2020,CN,Wuhan,7,29,82
11/1/2020,CN,Wuhan,6.1,40,104
12/1/2020,CN,Wuhan,10.4,60,147
13/1/2020,CN,Wuhan,8.1,54,117
14/1/2020,CN,Wuhan,10,86,175
15/1/2020,CN,Wuhan,9.1,76,169
16/1/2020,CN,Wuhan,7.3,53,152
17/1/2020,CN,Wuhan,6.3,41,114
18/1/2020,CN,Wuhan,8.5,55,137
19/1/2020,CN,Wuhan,8.5,80,171
20/1/2020,CN,Wuhan,11.1,82,168
21/1/2020,CN,Wuhan,10.4,74,166
22/1/2020,CN,Wuhan,9.2,69,164
23/1/2020,CN,Wuhan,10.8,69,164
24/1/2020,CN,Wuhan,4.5,34,89
25/1/2020,CN,Wuhan,6.9,36,107
26/1/2020,CN,Wuhan,4.8,30,85
27/1/2020,CN,Wuhan,7.5,43,124
28/1/2020,CN,Wuhan,6.3,54,151
29/1/2020,CN,Wuhan,6.4,51,139
30/1/2020,CN,Wuhan,6.9,52,142
31/1/2020,CN,Wuhan,8.6,59,154
1/2/2020,CN,Wuhan,9.1,59,154
2/2/2020,CN,Wuhan,8.1,59,154
3/2/2020,CN,Wuhan,8.2,61,153
4/2/2020,CN,Wuhan,8.5,58,153
5/2/2020,CN,Wuhan,9.5,67,163
6/2/2020,CN,Wuhan,6.9,31,82
7/2/2020,CN,Wuhan,4.9,19,61
8/2/2020,CN,Wuhan,5.9,24,72
9/2/2020,CN,Wuhan,6.2,31,89
10/2/2020,CN,Wuhan,8.5,40,107
11/2/2020,CN,Wuhan,8.5,29,80
12/2/2020,CN,Wuhan,8.5,30,78
13/2/2020,CN,Wuhan,10.4,28,70
14/2/2020,CN,Wuhan,9.8,26,68
15/2/2020,CN,Wuhan,6.6,17,53
16/2/2020,CN,Wuhan,4.5,20,50
17/2/2020,CN,Wuhan,4.4,22,55
18/2/2020,CN,Wuhan,5.3,23,65
19/2/2020,CN,Wuhan,6.5,31,82
20/2/2020,CN,Wuhan,7.5,41,102
21/2/2020,CN,Wuhan,7,44,112
22/2/2020,CN,Wuhan,7.9,47,114
23/2/2020,CN,Wuhan,7.6,58,95
24/2/2020,CN,Wuhan,8.8,53,107
25/2/2020,CN,Wuhan,9.3,66,157
26/2/2020,CN,Wuhan,10.6,52,132
27/2/2020,CN,Wuhan,7.5,42,89
28/2/2020,CN,Wuhan,7.1,11,42
29/2/2020,CN,Wuhan,7.9,14,53
1/3/2020,CN,Wuhan,8.3,32,80
2/3/2020,CN,Wuhan,8.1,34,78
3/3/2020,CN,Wuhan,7.2,29,76
4/3/2020,CN,Wuhan,8.2,35,85
5/3/2020,CN,Wuhan,8.5,53,132
6/3/2020,CN,Wuhan,8.6,47,112
7/3/2020,CN,Wuhan,9.2,39,95
8/3/2020,CN,Wuhan,9.5,30,76
9/3/2020,CN,Wuhan,8.3,47,114
10/3/2020,CN,Wuhan,7.4,40,91
11/3/2020,CN,Wuhan,8.1,60,99
12/3/2020,CN,Wuhan,10.4,54,122
13/3/2020,CN,Wuhan,8.5,59,142
14/3/2020,CN,Wuhan,6.9,64,129
15/3/2020,CN,Wuhan,5.4,64,87
16/3/2020,CN,Wuhan,7.8,66,117
17/3/2020,CN,Wuhan,8.1,63,127
18/3/2020,CN,Wuhan,7,65,132
19/3/2020,CN,Wuhan,6.4,51,93
20/3/2020,CN,Wuhan,7,74,91
21/3/2020,CN,Wuhan,10.4,55,112
22/3/2020,CN,Wuhan,9.2,69,142
